CMDLINE python .\scraper_multi_hilo.py
MEM 1.652344 1656607621.7859
MEM 11.980469 1656607621.9169
MEM 18.542969 1656607622.0414
MEM 28.027344 1656607622.1670
MEM 28.324219 1656607622.3010
MEM 28.339844 1656607622.4380
MEM 30.824219 1656607622.5920
MEM 31.121094 1656607622.7650
MEM 31.132812 1656607622.9240
MEM 31.753906 1656607623.1570
MEM 31.777344 1656607623.3900
MEM 31.777344 1656607623.5740
MEM 30.628906 1656607623.7440
